PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
"Carmelo Anthony, SF",74,74,34.3,22.4,0.8,5.1,5.9,2.9,0.82,0.45,2.1,2.7,1.4,18.0
"Kristaps Porzingis, PF",66,65,32.8,18.1,1.7,5.5,7.2,1.5,0.71,1.95,1.8,3.7,0.8,17.5
"Derrick Rose, PG",64,64,32.5,18.0,1.0,2.8,3.8,4.4,0.69,0.27,2.3,1.3,1.9,17.0
"Courtney Lee, SG",77,74,31.9,10.8,0.7,2.7,3.4,2.3,1.05,0.31,0.9,1.8,2.6,12.2
"Brandon Jennings, PG¢Ó",58,11,24.6,8.6,0.4,2.3,2.6,4.9,0.95,0.07,1.8,1.4,2.7,12.7
"Willy Hernangomez, C",72,22,18.4,8.2,2.4,4.6,7.0,1.3,0.57,0.50,1.4,2.1,1.0,19.0
"Justin Holiday, SG",82,4,20.0,7.7,0.3,2.4,2.7,1.2,0.79,0.38,0.8,1.3,1.5,12.7
"Kyle O'Quinn, C",79,8,15.6,6.3,2.0,3.6,5.6,1.5,0.46,1.32,1.0,2.2,1.5,20.6
"Mindaugas Kuzminskas, F",68,5,14.9,6.3,0.7,1.2,1.9,1.0,0.43,0.16,0.8,1.2,1.4,12.5
"Lance Thomas, SF",46,15,21.0,6.0,0.7,2.4,3.1,0.8,0.46,0.11,0.5,1.8,1.4,8.4
"Chasson Randle, PG¢Ó",18,0,12.5,5.3,0.4,1.2,1.6,1.6,0.33,0.06,0.9,1.6,1.8,12.5
"Joakim Noah, C",46,46,22.1,5.0,3.5,5.2,8.8,2.2,0.65,0.80,1.3,2.8,1.8,15.3
"Ron Baker, SG",52,13,16.5,4.1,0.2,1.7,1.9,2.1,0.65,0.15,1.1,1.4,1.9,7.5
"Maurice Ndour, SF",32,4,10.3,3.1,0.7,1.3,2.0,0.3,0.47,0.22,0.4,0.9,0.6,11.2
"Sasha Vujacic, SG",42,4,9.7,3.0,0.3,1.1,1.4,1.2,0.31,0.05,0.4,0.9,3.3,8.5
"Marshall Plumlee, C",21,1,8.1,1.9,1.1,1.3,2.4,0.5,0.19,0.19,0.6,1.1,0.8,11.1
