PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO
"John Wall, PG",13,13,39.0,27.2,0.5,3.2,3.7,10.3,1.69,1.15,4.2,2.0,2.4
"Bradley Beal, SG",13,13,38.8,24.8,1.2,2.2,3.4,2.7,1.62,0.62,2.1,2.9,1.3
"Otto Porter Jr., SF",13,13,32.9,12.2,1.2,5.8,6.9,1.8,1.62,0.54,0.8,2.0,2.3
"Markieff Morris, PF",13,13,28.7,12.1,1.4,5.0,6.4,1.7,0.92,1.31,1.6,3.5,1.0
"Bojan Bogdanovic, SG",13,0,20.3,8.8,0.8,3.5,4.3,0.7,0.46,0.08,0.6,1.3,1.1
"Marcin Gortat, C",13,13,31.5,8.1,4.0,7.0,11.0,1.8,0.38,1.54,1.3,3.1,1.4
"Kelly Oubre Jr., SF",12,0,15.3,5.8,0.8,1.6,2.3,0.3,0.83,0.42,0.6,3.2,0.6
"Jason Smith, PF",13,0,12.1,3.9,0.8,1.5,2.2,0.3,0.15,0.54,0.8,2.3,0.4
"Brandon Jennings, PG",13,0,13.7,2.8,0.4,1.1,1.5,1.8,0.15,0.00,0.6,1.0,3.0
"Ian Mahinmi, C",5,0,12.6,2.8,0.6,1.6,2.2,1.2,0.20,1.20,0.6,3.4,2.0
"Sheldon Mac, SG",7,0,2.4,2.0,0.0,0.3,0.3,0.0,0.00,0.00,0.1,0.1,0.0
"Tomas Satoransky, SG",10,0,3.6,0.8,0.1,0.4,0.5,0.6,0.10,0.00,0.2,0.4,3.0
"Trey Burke, PG",3,0,6.7,0.0,0.0,0.0,0.0,1.7,0.00,0.00,0.0,0.7,0.0
"Daniel Ochefu, PF",4,0,1.3,0.0,0.0,0.3,0.3,0.0,0.00,0.00,0.3,0.3,0.0
