PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Giannis Antetokounmpo, SF",10.0,18.7,.536,0.7,1.7,.400,4.2,7.7,0.54,9.3,17.0,.549,1.330,0.55
"Khris Middleton, SG",5.2,13.0,.397,1.2,3.2,.368,3.0,3.7,0.82,4.0,9.8,.407,1.115,0.44
"Greg Monroe, C",4.5,8.5,.529,0.0,0.0,.000,4.2,5.0,0.83,4.5,8.5,.529,1.549,0.53
"Tony Snell, SF",3.7,7.3,.500,2.7,5.2,.516,0.0,0.0,0.00,1.0,2.1,.462,1.364,0.68
"Malcolm Brogdon, G",3.7,9.2,.400,1.7,3.5,.476,0.0,0.0,0.00,2.0,5.7,.353,.982,0.49
"Matthew Dellavedova, PG",2.7,6.8,.390,1.0,2.7,.375,1.3,1.7,0.80,1.7,4.1,.400,1.122,0.46
"Thon Maker, PF",2.0,5.2,.387,0.3,1.7,.200,1.5,1.8,0.82,1.7,3.5,.476,1.129,0.42
"Michael Beasley, SF",1.8,5.0,.350,0.8,1.3,.600,0.0,1.0,0.00,1.0,3.7,.267,.850,0.43
"Jason Terry, SG",1.0,3.0,.333,0.3,1.7,.200,0.2,0.2,1.00,0.7,1.3,.500,.833,0.39
"Rashad Vaughn, SG",0.7,1.3,.500,0.7,0.7,1.000,0.0,0.0,0.00,0.0,0.6,.000,1.500,0.75
"Spencer Hawes, PF",0.7,1.7,.400,0.3,0.7,.500,0.0,0.0,0.00,0.4,1.0,.333,1.000,0.50
"John Henson, PF",0.5,2.0,.250,0.0,0.0,.000,0.5,0.5,1.00,0.5,2.0,.250,.750,0.25
"Mirza Teletovic, PF",0.3,2.0,.167,0.3,1.3,.250,0.0,0.0,0.00,0.0,0.7,.000,.500,0.25
