PLAYER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"DeMarcus Cousins, C¢Ó",9.2,20.3,.452,1.7,4.9,.356,7.7,10.0,0.77,7.5,15.4,.482,1.367,0.49
"Rudy Gay, SF",6.7,14.7,.455,1.4,3.8,.372,3.9,4.6,0.86,5.3,10.9,.483,1.271,0.50
"Buddy Hield, SG¢Ó",5.7,11.8,.480,2.4,5.5,.428,1.4,1.7,0.81,3.3,6.3,.525,1.277,0.58
"Darren Collison, PG",5.0,10.5,.476,1.1,2.6,.417,2.2,2.5,0.86,3.9,7.9,.495,1.261,0.53
"Tyreke Evans, SG¢Ó",4.2,10.2,.413,1.5,3.4,.438,1.7,2.4,0.71,2.7,6.8,.400,1.140,0.49
"Ty Lawson, PG",3.4,7.6,.454,0.5,1.7,.288,2.5,3.1,0.80,2.9,5.9,.502,1.305,0.49
"Skal Labissiere, F",3.5,6.6,.537,0.1,0.2,.375,1.6,2.2,0.70,3.4,6.4,.543,1.326,0.54
"Arron Afflalo, SG",3.0,6.9,.440,1.0,2.5,.411,1.4,1.5,0.89,2.0,4.4,.457,1.226,0.51
"Willie Cauley-Stein, C",3.4,6.4,.530,0.0,0.0,.000,1.3,2.0,0.67,3.4,6.4,.532,1.270,0.53
"Ben McLemore, SG",3.0,6.9,.430,1.1,2.8,.382,1.1,1.5,0.75,1.9,4.1,.462,1.181,0.51
"Garrett Temple, SG",2.8,6.6,.424,1.3,3.4,.373,0.9,1.1,0.78,1.5,3.2,.476,1.171,0.52
"Matt Barnes, SF¢Ó",2.7,7.1,.384,1.3,3.9,.327,0.9,1.2,0.76,1.4,3.2,.453,1.078,0.47
"Anthony Tolliver, PF",2.4,5.4,.442,1.4,3.5,.391,0.9,1.3,0.74,1.0,1.9,.537,1.313,0.57
"Kosta Koufos, C",3.0,5.5,.551,0.0,0.0,.000,0.5,0.9,0.61,3.0,5.5,.552,1.199,0.55
"Jordan Farmar, PG",2.0,6.0,.333,2.0,4.5,.444,0.0,0.0,0.00,0.0,1.5,.000,1.000,0.50
"Langston Galloway, SG¢Ó",2.2,5.5,.404,1.0,2.1,.475,0.6,0.6,0.92,1.2,3.4,.359,1.096,0.50
"Omri Casspi, SF¢Ó",2.4,5.3,.453,0.5,1.3,.379,0.5,1.0,0.57,1.9,4.0,.477,1.103,0.50
"Georgios Papagiannis, C",2.5,4.6,.549,0.0,0.1,.000,0.5,0.6,0.86,2.5,4.5,.560,1.216,0.55
"Malachi Richardson, SG",1.3,3.1,.412,0.4,1.3,.286,0.7,0.9,0.79,0.9,1.8,.500,1.162,0.47
"¢Ó Midseason Trades: DeMarcus Cousins  (17 games NO); Buddy Hield  (57 games NO); Tyreke Evans  (26 games NO); Matt Barnes  (20 games GS); Langston Galloway  (55 games NO); Omri Casspi  (1 games NO, 13 games MIN)",,,,,,,,,,,,,,
